Datum	Motståndare	Res	Publik (bortalag)	1 David Ousted	2 Simon Sandberg	3 Dennis Widgren	4 Richard Magyar	5 David Fällman	6 Darijan Bojanic	7 Imad Khalili	8 Jeppe Andrup Andersen	9 Paulo José De Oliveira	11 Vladimir Rodic	13 Mads Fenger Nielsen	14 Tim Söderström	16 Gustav Ludwigson	17 Abdul Rahman Khalili	19 Serge-Junior Martinsson Ngouali	20 Alexander Kacaniklic	22 Muamer Tankovic	23 Aron Johansson	24 Oliver Dovin	25 Davor Blazevic	26 Kalle Björklund	28 Jean Carlos De Brito	31 Aimar Sher	
14/6	Östersund	2-0	0 (0)	S	-	S	B	S	U	I	S	UG	I	S	U	I	S	-	U	S2	I	-	B	-	B	-	
17/6	IF Elfsborg	2-2	0 (0)	S	-	S	U	I	S	I	S	B1	I	S	UG	I	U	-	S1	U	S	-	B	-	B	-	
21/6	AIK	0-2	0 (0)	S	B	U	-	S	U	U	SG	SG	U	U	I	I	S	-	I	S	-	-	B	I	I	-	
28/6	Mjällby AIF	1-2	0 (0)	S	U	SG	SR	I	U	U	SG	I	I	SG	I	I	U	-	SG	U1	-	-	B	-	B	-	
2/7	Varbergs BoIS FC	1-0	0 (0)	S	S	S	-	S	I	I	I	S	B	-	B	U1	UG	-	SG	S	-	-	B	S	B	UG	
5/7	BK Häcken	0-3	0 (0)	S	SG	SG	U	-	U	B	S	I	-	S	B	U	S	-	S	S	I	-	B	I	-	B	
11/7	IK Sirius FK	0-0	0 (0)	S	U	SG	-	S	U	B	UG	I	B	SG	I	S	SG	I	U	S	-	-	B	B	B	I	
16/7	Kalmar FF	2-1	0 (0)	S	U	S	-	S	I	B	S	S1	I	S	I	S1	-	U	U	S	-	-	B	-	B	-	
20/7	IFK Göteborg	1-1	0 (0)	-	U	U	-	S	I	I1	SG	U	I	SG	I	S	-	U	U	S	-	B	S	I	-	B	
23/7	Malmö FF	0-3	0 (0)	S	S	B	-	U	U	SG	-	-	I	S	S	S	IG	U	U	U	I	-	B	I	-	I	
27/7	Örebro	3-0	0 (0)	S	U	I	-	S	I	I	S	-	S	S1	SG	U1	U1	U	I	-	I	-	B	B	-	U
